artist_id,name,external_url,follower_count,image_url,popularity
7tYKF4w9nC0nq9CsPZTHyP,SZA,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,23153359,https://i.scdn.co/image/ab6761610000e5eb0895066d172e1f51f520bc65,90
59oA5WbbQvomJz2BuRG071,Jungle,https://open.spotify.com/artist/59oA5WbbQvomJz2BuRG071,1497587,https://i.scdn.co/image/ab6761610000e5eb21f6e9ccd576bb2ef541a3fe,76
0oK5D6uPhGu4Jk2dbZfodU,Thee Sacred Souls,https://open.spotify.com/artist/0oK5D6uPhGu4Jk2dbZfodU,582793,https://i.scdn.co/image/ab6761610000e5eb1a99219498d5119b0e742b19,69
1l2ekx5skC4gJH8djERwh1,Don Diablo,https://open.spotify.com/artist/1l2ekx5skC4gJH8djERwh1,1805762,https://i.scdn.co/image/ab6761610000e5eb188b52ee1419eb2a0a91bddf,68
4FAahCBNlbpgoAhVfuUHPD,Dezko,https://open.spotify.com/artist/4FAahCBNlbpgoAhVfuUHPD,96663,https://i.scdn.co/image/ab6761610000e5eb8cc2884ac9c75f7f9c0c8d43,56
1scVfBymTr3CeZ4imMj1QJ,Forrest Frank,https://open.spotify.com/artist/1scVfBymTr3CeZ4imMj1QJ,775350,https://i.scdn.co/image/ab6761610000e5ebff5078561c63bc1c49bd68cd,74
36cgvBn0aadzOijnjjwqMN,ILLIT,https://open.spotify.com/artist/36cgvBn0aadzOijnjjwqMN,1448585,https://i.scdn.co/image/ab6761610000e5eb5884b5e3bdc71d42b62bfcfd,72
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,https://open.spotify.com/artist/1WaFQSHVGZQJTbf0BdxdNo,708043,https://i.scdn.co/image/ab6761610000e5ebbb330168f192dbdc28fcbd37,80
57vWImR43h4CaDao012Ofp,Steve Lacy,https://open.spotify.com/artist/57vWImR43h4CaDao012Ofp,5073613,https://i.scdn.co/image/ab6761610000e5eb09ac9d040c168d4e4f58eb42,82
1gR0gsQYfi6joyO1dlp76N,Justice,https://open.spotify.com/artist/1gR0gsQYfi6joyO1dlp76N,1263438,https://i.scdn.co/image/ab6761610000e5ebf140c161d9f9cc9afe85b6ed,65
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,https://open.spotify.com/artist/73sIBHcqh3Z3NyqHKZ7FOL,13314123,https://i.scdn.co/image/ab6761610000e5ebc3dc5429b676b16d451e5f77,82
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,27152009,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,93
0n4Fao9kbjgM76RmVlfSwr,YG Marley,https://open.spotify.com/artist/0n4Fao9kbjgM76RmVlfSwr,646588,https://i.scdn.co/image/ab6761610000e5ebca530ae2dba9cdcc2b5f0a27,64
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,12687722,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae,95
2FXC3k01G6Gw61bmprjgqS,Hozier,https://open.spotify.com/artist/2FXC3k01G6Gw61bmprjgqS,7846057,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a,86
5p9HO3XC5P3BLxJs5Mtrhm,Djo,https://open.spotify.com/artist/5p9HO3XC5P3BLxJs5Mtrhm,1537770,https://i.scdn.co/image/ab6761610000e5eb02fcc327683d53bea9583c69,76
4eoZNWAcavDmUTQIoiPpyk,Evan Ford,https://open.spotify.com/artist/4eoZNWAcavDmUTQIoiPpyk,17366,https://i.scdn.co/image/ab6761610000e5eb790edb49bc54dbbda0c95643,47
246dkjvS1zLTtiykXe5h60,Post Malone,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,45385555,https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0,93
5zixe6AbgXPqt4c1uSl94L,Connor Price,https://open.spotify.com/artist/5zixe6AbgXPqt4c1uSl94L,1459450,https://i.scdn.co/image/ab6761610000e5eb00835d03b5d032c8b22153f6,75
6chWbUfdu6ibyaCXM1w8kQ,Forrest.,https://open.spotify.com/artist/6chWbUfdu6ibyaCXM1w8kQ,187216,https://i.scdn.co/image/ab6761610000e5eb354d3b6bacb847ae6325e9b5,55
5y8tKLUfMvliMe8IKamR32,d4vd,https://open.spotify.com/artist/5y8tKLUfMvliMe8IKamR32,2933223,https://i.scdn.co/image/ab6761610000e5ebad447187a35f422307e88ad3,79
0PCCGZ0wGLizHt2KZ7hhA2,Artemas,https://open.spotify.com/artist/0PCCGZ0wGLizHt2KZ7hhA2,932213,https://i.scdn.co/image/ab6761610000e5eb597f1c8c92c4a82734e3af43,80
52N3KGrTWDRhdQJrgBTofE,Good Neighbours,https://open.spotify.com/artist/52N3KGrTWDRhdQJrgBTofE,107348,https://i.scdn.co/image/ab6761610000e5eb58929e7afb75eea0c1295f4a,68
6W2lyFO79SNpk3ZpF0A2s9,Jet Trouble,https://open.spotify.com/artist/6W2lyFO79SNpk3ZpF0A2s9,19425,https://i.scdn.co/image/ab6761610000e5eb7a00e06354860faff82795f0,47
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ,3926477,https://i.scdn.co/image/ab6761610000e5eb2aab40ce03f3fa86163f78bb,79
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,44686578,https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d,88
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,https://open.spotify.com/artist/33qOK5uJ8AR2xuQQAhHump,3019742,https://i.scdn.co/image/ab6761610000e5ebf9cf783eb03eb66aa43943ba,85
164Uj4eKjl6zTBKfJLFKKK,JVKE,https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK,4848155,https://i.scdn.co/image/ab6761610000e5ebce33386a81a202e149934ec1,77
1RyvyyTE3xzB2ZywiAwp0i,Future,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i,18614625,https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb,92
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,32939105,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,92
5SXuuuRpukkTvsLuUknva1,Baby Keem,https://open.spotify.com/artist/5SXuuuRpukkTvsLuUknva1,2540971,https://i.scdn.co/image/ab6761610000e5ebd6f2323c1971fd5a70cd0255,77
7r8EHfxHZHU16sUV3BEH1t,Macabre Plaza,https://open.spotify.com/artist/7r8EHfxHZHU16sUV3BEH1t,204579,https://i.scdn.co/image/ab6761610000e5ebf5a587d8a215e5daa5a0548d,61
58uK0d4R5Rq4FDUNgNIFeI,Paperboy Fabe,https://open.spotify.com/artist/58uK0d4R5Rq4FDUNgNIFeI,49198,https://i.scdn.co/image/ab6761610000e5ebdfd2c545edfd19963b7eb5ec,62
7gW0r5CkdEUMm42w9XpyZO,Laufey,https://open.spotify.com/artist/7gW0r5CkdEUMm42w9XpyZO,5213758,https://i.scdn.co/image/ab6761610000e5eb71eb8f92b86868400ed4e006,82
2kRfqPViCqYdSGhYSM9R0Q,Madison Beer,https://open.spotify.com/artist/2kRfqPViCqYdSGhYSM9R0Q,6978888,https://i.scdn.co/image/ab6761610000e5ebe0b37426761bbaa441615c5b,74
5INjqkS1o8h1imAzPqGZBb,Tame Impala,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb,8135481,https://i.scdn.co/image/ab6761610000e5eb90357ef28b3a012a1d1b2fa2,80
40ZElxHldNyvn7x8WRC6fh,Pink Siifu,https://open.spotify.com/artist/40ZElxHldNyvn7x8WRC6fh,76696,https://i.scdn.co/image/ab6761610000e5eb9c017e1e34973fabb15fc0a4,51
5fi7lIgJGH3RgUpJYcffQ7,4batz,https://open.spotify.com/artist/5fi7lIgJGH3RgUpJYcffQ7,584085,https://i.scdn.co/image/ab6761610000e5eb048331dfc4066338b7584046,67
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,https://open.spotify.com/artist/3tlXnStJ1fFhdScmQeLpuG,6459923,https://i.scdn.co/image/ab6761610000e5ebe187dca750abfd3688836309,84
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF,16284240,https://i.scdn.co/image/ab6761610000e5eb8278b782cbb5a3963db88ada,86
4mr4X9nJC8DPlNukWbgAaI,HYBS,https://open.spotify.com/artist/4mr4X9nJC8DPlNukWbgAaI,490627,https://i.scdn.co/image/ab6761610000e5ebf078775e8d12a4b37770e220,68
35WVTyRnKAoaGExqgktVyb,Hotel Ugly,https://open.spotify.com/artist/35WVTyRnKAoaGExqgktVyb,757741,https://i.scdn.co/image/ab6761610000e5eb939033cc36c08ab68b33f760,76
