song_id,title,disc_number,duration_ms,explicit,external_url,preview_url,popularity
4PMqSO5qyjpvzhlLI5GnID,Good Days,1,278480,t,https://open.spotify.com/track/4PMqSO5qyjpvzhlLI5GnID,https://p.scdn.co/mp3-preview/d7fd97c8190baa298af9b4e778d2ba940fcd13a4?cid=1c9c9fe9723045b58a3dd31c2a7be91f,82
0eBAg5wJBu2Acv6o72iY4c,Back On 74 - Full Crate Remix,1,174233,f,https://open.spotify.com/track/0eBAg5wJBu2Acv6o72iY4c,https://p.scdn.co/mp3-preview/ebcc8bac6ebfbdf7fc8d79db5a5cafa3e1fbfc9e?cid=1c9c9fe9723045b58a3dd31c2a7be91f,61
1CKfCj9izL24zGTrO6QTFE,Love Is The Way,1,179836,f,https://open.spotify.com/track/1CKfCj9izL24zGTrO6QTFE,https://p.scdn.co/mp3-preview/2f9a30497fca5fb27b952349f03b049a82e44776?cid=1c9c9fe9723045b58a3dd31c2a7be91f,68
67p96tIoC4ESrod9kW331R,Hot Air Balloon,1,173658,f,https://open.spotify.com/track/67p96tIoC4ESrod9kW331R,https://p.scdn.co/mp3-preview/229c53e34f3f61252ab707a446bd985e2503b970?cid=1c9c9fe9723045b58a3dd31c2a7be91f,71
199wv1uOJYZ1XyK8FTzwh2,Ascend,1,200156,f,https://open.spotify.com/track/199wv1uOJYZ1XyK8FTzwh2,https://p.scdn.co/mp3-preview/5ce0dd6090f77c3db799710d5ab552967e0b55a3?cid=1c9c9fe9723045b58a3dd31c2a7be91f,70
50utqknCBo0N3QAQbXIPKV,UP!,1,136968,f,https://open.spotify.com/track/50utqknCBo0N3QAQbXIPKV,https://p.scdn.co/mp3-preview/3769f847b510bb56b3c80692ab9b49b985fbcbc3?cid=1c9c9fe9723045b58a3dd31c2a7be91f,71
1aKvZDoLGkNMxoRYgkckZG,Magnetic,1,160688,f,https://open.spotify.com/track/1aKvZDoLGkNMxoRYgkckZG,https://p.scdn.co/mp3-preview/b3e85d7434b5fb072c7110197b3b896d04aa90e7?cid=1c9c9fe9723045b58a3dd31c2a7be91f,86
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,1,155151,f,https://open.spotify.com/track/5AJ9hqTS2wcFQCELCFRO7A,,93
1LJf3nm1uyWUq1NP61Ea5W,LAST NITE,1,129507,t,https://open.spotify.com/track/1LJf3nm1uyWUq1NP61Ea5W,,64
4riDfclV7kPDT9D58FpmHd,Some,1,118393,t,https://open.spotify.com/track/4riDfclV7kPDT9D58FpmHd,https://p.scdn.co/mp3-preview/a466cb9f6f92804a89a984aa05595604cc188a82?cid=1c9c9fe9723045b58a3dd31c2a7be91f,82
3aQ9MHkMeL7Yu7jpyF62xn,Neverender,1,266493,f,https://open.spotify.com/track/3aQ9MHkMeL7Yu7jpyF62xn,https://p.scdn.co/mp3-preview/8314f126a5acedf146ff74f745b15859e6bb847f?cid=1c9c9fe9723045b58a3dd31c2a7be91f,69
6Lj4RhwPsVfMn7tsA5i8jW,Atavista,1,181666,f,https://open.spotify.com/track/6Lj4RhwPsVfMn7tsA5i8jW,https://p.scdn.co/mp3-preview/19bbe59b20aa05aaf05aa0d15a24c6e211958f49?cid=1c9c9fe9723045b58a3dd31c2a7be91f,57
3sNVsP50132BTNlImLx70i,Bound 2,1,229146,t,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i,,81
7kjL0ldXgBwZ3xOzA0WHMD,To Be Hunted,1,254813,f,https://open.spotify.com/track/7kjL0ldXgBwZ3xOzA0WHMD,https://p.scdn.co/mp3-preview/7bdd2ccbb63f1bc9b5e56841c3f96280b2325711?cid=1c9c9fe9723045b58a3dd31c2a7be91f,60
3h5TiWTqGxjSjFrbruPFH9,Praise Jah In The Moonlight,1,263040,f,https://open.spotify.com/track/3h5TiWTqGxjSjFrbruPFH9,https://p.scdn.co/mp3-preview/48ba1ac7cb410b8e0f8abbb33cab0122e33786b5?cid=1c9c9fe9723045b58a3dd31c2a7be91f,78
2qSkIjg1o9h3YT9RAgYN75,Espresso,1,175459,t,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,,97
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,1,251424,f,https://open.spotify.com/track/5Z0UnEtpLDQyYlWwgi8m9C,,88
3qhlB30KknSejmIvZZLjOD,End of Beginning,1,159245,f,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD,https://p.scdn.co/mp3-preview/2f6f0965be46144eca9212258c7a2988376727a1?cid=1c9c9fe9723045b58a3dd31c2a7be91f,92
08p6vlDd47KVLPPZtgwbeF,Thanks In Advance,1,141176,f,https://open.spotify.com/track/08p6vlDd47KVLPPZtgwbeF,https://p.scdn.co/mp3-preview/04d036a17680829ad88096d1338f3da0e6c7d1e8?cid=1c9c9fe9723045b58a3dd31c2a7be91f,51
1bjeWoagtHmUKputLVyDxQ,Saturn,1,186191,f,https://open.spotify.com/track/1bjeWoagtHmUKputLVyDxQ,https://p.scdn.co/mp3-preview/74f603e906ab7a5409cf2edc6dda326ebe7c1d49?cid=1c9c9fe9723045b58a3dd31c2a7be91f,88
2lAltjW0kKq9ylKjMuEGx8,LYWMT,1,146676,f,https://open.spotify.com/track/2lAltjW0kKq9ylKjMuEGx8,https://p.scdn.co/mp3-preview/97d5985d2f104d0adb54f6d27e4154d120b4f104?cid=1c9c9fe9723045b58a3dd31c2a7be91f,28
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),1,178205,t,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP,,90
6Cds0aUGW0olm8E5kxSZ5J,Million Cash,1,144059,f,https://open.spotify.com/track/6Cds0aUGW0olm8E5kxSZ5J,https://p.scdn.co/mp3-preview/a520ca903b170b1bdc8155fbd0fc101c6f914f4e?cid=1c9c9fe9723045b58a3dd31c2a7be91f,62
1bxEymHzVbGrbjR99QjS0l,slow down,1,170521,f,https://open.spotify.com/track/1bxEymHzVbGrbjR99QjS0l,https://p.scdn.co/mp3-preview/d9dce53a62e1dbb7d4c9be82472264cb1d0c0701?cid=1c9c9fe9723045b58a3dd31c2a7be91f,56
3SAga35lAPYdjj3qyfEsCF,Feel It - From The Original Series “Invincible”,1,157974,f,https://open.spotify.com/track/3SAga35lAPYdjj3qyfEsCF,,81
2oNudz3r9oFMt0FfREhFoM,DIGGIN U,1,146992,f,https://open.spotify.com/track/2oNudz3r9oFMt0FfREhFoM,https://p.scdn.co/mp3-preview/7fab76c7a36b72a7b6d376328379d67d4acf8469?cid=1c9c9fe9723045b58a3dd31c2a7be91f,52
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,1,142514,f,https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf,https://p.scdn.co/mp3-preview/6ce9233edb212fe7cf02273f4369d2c60c28e887?cid=1c9c9fe9723045b58a3dd31c2a7be91f,89
68mOSKT4uBkKddEAhlMO61,Home,1,157485,f,https://open.spotify.com/track/68mOSKT4uBkKddEAhlMO61,,83
3zrOUPDVI1nvhER2bYEKiL,Though None Go,1,77975,f,https://open.spotify.com/track/3zrOUPDVI1nvhER2bYEKiL,https://p.scdn.co/mp3-preview/488a24dcabfa604138408d435125c2ab1e8092ed?cid=1c9c9fe9723045b58a3dd31c2a7be91f,53
4xhsWYTOGcal8zt0J161CU,Lovin On Me,1,138411,t,https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU,https://p.scdn.co/mp3-preview/eeeb6151d0049367b3ad3db0389e9e3b116c0774?cid=1c9c9fe9723045b58a3dd31c2a7be91f,83
7b6sWLSnbZhSIeqNGrJ4py,These Walls,1,217783,t,https://open.spotify.com/track/7b6sWLSnbZhSIeqNGrJ4py,https://p.scdn.co/mp3-preview/5d920c58e98799d4492c903f849c631ea26b5d2a?cid=1c9c9fe9723045b58a3dd31c2a7be91f,74
4W3SnqDKLvyRAFKDfCjSWM,just friends,1,179334,f,https://open.spotify.com/track/4W3SnqDKLvyRAFKDfCjSWM,https://p.scdn.co/mp3-preview/439f8c9a069dc043671225b87849dadc4b0c8c4a?cid=1c9c9fe9723045b58a3dd31c2a7be91f,44
17phhZDn6oGtzMe56NuWvj,Lose Control,1,210688,f,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj,https://p.scdn.co/mp3-preview/51e51cc257e4186893b1923abf42fdaabbeeda37?cid=1c9c9fe9723045b58a3dd31c2a7be91f,91
4EhqimHdoK9OmCNvCfioH6,this is what slow dancing feels like,1,145735,f,https://open.spotify.com/track/4EhqimHdoK9OmCNvCfioH6,https://p.scdn.co/mp3-preview/a3f3f692c13441968cfc1474335845b5b45eb23b?cid=1c9c9fe9723045b58a3dd31c2a7be91f,65
0A2NUKgbIM6usESeRTk9Z4,what's the use?,1,141384,f,https://open.spotify.com/track/0A2NUKgbIM6usESeRTk9Z4,https://p.scdn.co/mp3-preview/0fe664c8e670a4bb157b86c8da6e35103a63e35f?cid=1c9c9fe9723045b58a3dd31c2a7be91f,48
4g6ZNtgFm7pOvinj2IvLCy,Your Soul,1,178280,f,https://open.spotify.com/track/4g6ZNtgFm7pOvinj2IvLCy,https://p.scdn.co/mp3-preview/0bc26db363f22efb5cf066fefa57d83f6827262d?cid=1c9c9fe9723045b58a3dd31c2a7be91f,52
2tudvzsrR56uom6smgOcSf,Like That,1,267706,t,https://open.spotify.com/track/2tudvzsrR56uom6smgOcSf,https://p.scdn.co/mp3-preview/793f43da71fe668c35b72a38ae7f93e783823e17?cid=1c9c9fe9723045b58a3dd31c2a7be91f,87
6SwRhMLwNqEi6alNPVG00n,LOYALTY. FEAT. RIHANNA.,1,227360,t,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n,,77
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),1,252262,t,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN,https://p.scdn.co/mp3-preview/376965c332ef1da7f59826c2c12160456e960b8b?cid=1c9c9fe9723045b58a3dd31c2a7be91f,79
2K6f0hncJdVzA9eK76JIxN,MESSY,1,151875,f,https://open.spotify.com/track/2K6f0hncJdVzA9eK76JIxN,,59
0hYh0vcM53aRbksX7ZcpOI,Time (feat. Ariana Grande),1,334880,t,https://open.spotify.com/track/0hYh0vcM53aRbksX7ZcpOI,https://p.scdn.co/mp3-preview/f45608b8c720741ed53797f03a37fc99ba57b898?cid=1c9c9fe9723045b58a3dd31c2a7be91f,51
4sys6H7gj0kgsa2bUx0IeW,A Bird's Last Look,1,69565,f,https://open.spotify.com/track/4sys6H7gj0kgsa2bUx0IeW,https://p.scdn.co/mp3-preview/11d556eafe2eb6bc0c818c7c9456a1e4c4315037?cid=1c9c9fe9723045b58a3dd31c2a7be91f,72
5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,1,223506,t,https://open.spotify.com/track/5SkRLpaGtvYPhw02vZhQQ9,,81
4RnvS1tmh1ERhjXX6dxv95,Language,1,150360,t,https://open.spotify.com/track/4RnvS1tmh1ERhjXX6dxv95,https://p.scdn.co/mp3-preview/80be79e085383a0f60f2d151a98077bf4247edc4?cid=1c9c9fe9723045b58a3dd31c2a7be91f,78
6FWN1CXHBsePcbztrZI30o,WHAT DO U LIKE,1,136170,t,https://open.spotify.com/track/6FWN1CXHBsePcbztrZI30o,,60
6SdwTlnOy0hcfXmkwQrSw2,Human Sacrifice,1,352720,f,https://open.spotify.com/track/6SdwTlnOy0hcfXmkwQrSw2,https://p.scdn.co/mp3-preview/44fe0a91b14f2c4191f2f4ecf50c046f253e3066?cid=1c9c9fe9723045b58a3dd31c2a7be91f,56
2SPbioo65CuUB3H0aW1ID5,Bored,1,213213,f,https://open.spotify.com/track/2SPbioo65CuUB3H0aW1ID5,https://p.scdn.co/mp3-preview/cf06531d4ad8378c8ac6f40cafc57446ed7d531b?cid=1c9c9fe9723045b58a3dd31c2a7be91f,73
5FkoSXiJPKTNyYgALRJFhD,ORANGE SODA,1,129882,t,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD,https://p.scdn.co/mp3-preview/16036f2f4b872f58b00af7696e802883c79ae84e?cid=1c9c9fe9723045b58a3dd31c2a7be91f,78
48vIfHaK7by6x0T6ucpODL,Make You Mine,1,221709,f,https://open.spotify.com/track/48vIfHaK7by6x0T6ucpODL,https://p.scdn.co/mp3-preview/5486fc87047fef6a69a8f459de5d3048c1118206?cid=1c9c9fe9723045b58a3dd31c2a7be91f,80
0nifVdzF4R6WT2qITFJKeu,ELECTRIFY TONIGHT,1,154730,t,https://open.spotify.com/track/0nifVdzF4R6WT2qITFJKeu,https://p.scdn.co/mp3-preview/6a2f5b359f835228dd08d938a2fa578f965c0728?cid=1c9c9fe9723045b58a3dd31c2a7be91f,58
6ajiOUVtxRjYcf1EvBDoV4,"Psilocybae (Millennial Love) (feat. 21 Savage, Ink & Kadhja Bonet)",1,392600,t,https://open.spotify.com/track/6ajiOUVtxRjYcf1EvBDoV4,https://p.scdn.co/mp3-preview/6f601ac1662991f1097689db2ab90493ffdea48c?cid=1c9c9fe9723045b58a3dd31c2a7be91f,57
5hM5arv9KDbCHS0k9uqwjr,Borderline,1,237800,f,https://open.spotify.com/track/5hM5arv9KDbCHS0k9uqwjr,,81
5kYaWgEAb5WTI0x97T5Kh1,Creme's Interlude,1,140464,t,https://open.spotify.com/track/5kYaWgEAb5WTI0x97T5Kh1,https://p.scdn.co/mp3-preview/b5c4cf1cd9481e6dc633ce8b038050b3147a88fb?cid=1c9c9fe9723045b58a3dd31c2a7be91f,64
7xkOsl8tMeZRGeTO0PZoPI,FEVER,1,130515,t,https://open.spotify.com/track/7xkOsl8tMeZRGeTO0PZoPI,,56
0zuTQnwbFilLGQziet34Mr,Algorhythm,1,214760,f,https://open.spotify.com/track/0zuTQnwbFilLGQziet34Mr,https://p.scdn.co/mp3-preview/f3df820fc85082a58400b66c683107dec87b41a4?cid=1c9c9fe9723045b58a3dd31c2a7be91f,53
1CayJq3tFfNMRv7HihVFlo,act iii: on god? (she like) (feat. Kanye West) - remix,1,189867,t,https://open.spotify.com/track/1CayJq3tFfNMRv7HihVFlo,https://p.scdn.co/mp3-preview/7ae336d43ddbc89e94583eddf68065edcdace405?cid=1c9c9fe9723045b58a3dd31c2a7be91f,53
5iwUwADk4uQUvgMF6PlTRl,Upset (feat. Tommy Richman & FELIX!),1,177899,t,https://open.spotify.com/track/5iwUwADk4uQUvgMF6PlTRl,https://p.scdn.co/mp3-preview/19876c3edcc22e9727edee03353ec89cecc2fa60?cid=1c9c9fe9723045b58a3dd31c2a7be91f,78
